subject,trial,excluded,windowStart,windowEnd
sp006,60,0,682,1458
sp006,61,0,772,1337
sp006,62,0,783,1340
sp006,63,0,763,1309
sp006,64,0,702,1313
sp006,65,0,836,1452
sp006,66,0,569,1176
sp006,67,0,810,1393
sp006,68,0,761,1301
sp006,69,0,764,1301
sp006,70,0,639,1015
sp006,71,0,650,1114
sp006,72,0,632,1158
sp006,73,0,734,1333
sp006,74,0,642,1195
sp006,75,0,756,1305
sp006,76,0,808,1386
sp006,77,0,938,1420
sp006,78,0,615,1251
sp006,79,0,562,1295
sp006,80,0,739,1273
sp006,81,0,638,1239
sp006,82,0,764,1471
sp006,83,0,669,1249
sp006,84,0,405,1093
sp006,85,0,645,1278
sp006,86,0,667,1375
sp006,87,0,672,1355
sp006,88,0,753,1332
sp006,89,0,741,1302
sp006,90,0,644,1334
sp006,91,0,616,1166
sp006,92,0,567,1175
sp006,93,0,619,1189
sp006,94,0,616,1360
sp006,95,0,860,1451
sp006,96,0,658,1266
sp006,97,0,703,1231
sp006,98,0,562,1197
sp006,99,0,620,1054
sp006,100,0,712,1188
sp006,101,0,795,1330
sp006,102,0,729,1244
sp006,103,0,600,1203
sp006,104,0,605,1155
sp006,105,0,799,1360
sp006,106,0,621,1131
sp006,107,0,723,1273
sp006,108,0,634,1184
sp006,109,0,766,1381
sp006,110,0,731,1323
sp006,111,0,659,1178
sp006,112,0,692,1358
sp006,113,0,702,1149
sp006,114,0,661,1312
sp006,115,0,603,1104
sp006,116,0,698,1329
sp006,117,0,578,1149
sp006,118,0,696,1146
sp006,119,0,579,1359
sp006,120,0,671,1278
sp007,1,0,604,1190
sp007,2,0,570,1083
sp007,3,1,0,0
sp007,4,0,535,1169
sp007,5,0,600,1156
sp007,6,0,588,1103
sp007,7,0,622,1034
sp007,8,0,570,1041
sp007,9,0,673,1210
sp007,10,0,551,974
sp007,11,0,451,945
sp007,12,0,534,1050
sp007,13,0,522,970
sp007,14,0,519,998
sp007,15,0,520,974
sp007,16,1,0,0
sp007,17,0,525,991
sp007,18,1,0,0
sp007,19,0,587,1311
sp007,20,0,663,1065
sp007,21,0,639,1020
sp007,22,0,499,1029
sp007,23,0,416,946
sp007,24,0,403,895
sp007,25,0,531,1009
sp007,26,0,536,999
sp007,27,0,574,981
sp007,28,0,549,920
sp007,29,0,543,1019
sp007,30,0,557,1114
sp007,31,0,556,995
sp007,32,1,0,0
sp007,33,0,597,932
sp007,34,0,517,982
sp007,35,0,532,976
sp007,36,0,1089,1568
sp007,37,0,439,935
sp007,38,0,768,1166
sp007,39,1,0,0
sp007,40,0,478,988
sp007,41,0,661,1083
sp007,42,0,522,1084
sp007,43,0,470,909
sp007,44,0,532,936
sp007,45,0,572,1088
sp007,46,1,0,0
sp007,47,0,670,1010
sp007,48,0,526,961
sp007,49,0,494,874
sp007,50,0,532,1020
sp007,51,0,757,1268
sp007,52,1,0,0
sp007,53,0,708,1128
sp007,54,0,716,1180
sp007,55,0,629,996
sp007,56,0,377,936
sp007,57,0,511,881
sp007,58,0,682,987
sp007,59,0,578,1055
sp007,60,0,564,1018
sp007,61,0,536,1091
sp007,62,0,502,970
sp007,63,0,326,845
sp007,64,0,478,916
sp007,65,0,389,950
sp007,66,0,584,1028
sp007,67,0,567,1024
sp007,68,0,606,1054
sp007,69,0,438,886
sp007,70,0,600,972
sp007,71,0,683,1104
sp007,72,0,378,814
sp007,73,0,450,880
sp007,74,0,557,944
sp007,75,0,405,1004
sp007,76,0,194,693
sp007,77,0,407,627
sp007,78,1,0,0
sp007,79,0,578,1011
sp007,80,0,431,1028
sp007,81,0,512,988
sp007,82,1,0,0
sp007,83,0,1267,1677
sp007,84,1,0,0
sp007,85,0,409,718
sp007,86,0,417,814
sp007,87,1,0,0
sp007,88,0,618,995
sp007,89,1,0,0
sp007,90,0,507,927
sp007,91,0,467,959
sp007,92,0,585,791
sp007,93,0,548,986
sp007,94,0,745,1159
sp007,95,0,510,930
sp007,96,1,0,0
sp007,97,1,0,0
sp007,98,0,569,992
sp007,99,0,500,941
sp007,100,0,436,993
sp007,101,1,0,0
sp007,102,0,564,959
sp007,103,1,0,0
sp007,104,0,407,1070
sp007,105,0,530,1010
sp007,106,0,500,1093
sp007,107,0,420,942
sp007,108,0,442,961
sp007,109,0,692,1136
sp007,110,0,550,967
sp007,111,0,641,1029
sp007,112,0,457,869
sp007,113,0,461,884
sp007,114,0,752,1202
sp007,115,0,951,994
sp007,116,0,670,1069
sp007,117,0,583,950
sp007,118,0,495,898
sp007,119,0,542,905
sp007,120,0,842,1173
sp008,1,0,703,1044
sp008,2,0,628,1275
sp008,3,0,719,1161
sp008,4,0,552,926
sp008,5,0,620,1077
sp008,6,0,689,1140
sp008,7,0,618,1224
sp008,8,0,668,1128
